,Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $)
Honduras, 4 270,4190,4110,4000,3990,4100,3920,3610,3360,3110,2930,2830,2750,2680,2530,2570,2510,2360,2280,2230,2260,2050,1970,1900
Hungary,,21000,21240,20140,19550,19120,17590,17330,16060,15330,14640,13910,12740,11310,10430,10050,9400,8940,8680,8510,8110,7640,7650,8540
Iceland, 38 870,34190,32790,30210,30410,31160,35270,33830,33630,32400,30290,31040,29530,28070,28050,27200,25480,23610,22540,22110,21220,20700,21130,20580
India, 5 350,5080,4840,4500,4100,3800,3650,3270,2950,2650,2430,2240,2160,2040,1960,1800,1710,1640,1530,1410,1320,1250,1180,1160
Indonesia, 9 260,8740,8190,7650,7160,6880,6420,5960,5520,5150,4880,4240,4120,4010,3850,3900,4640,4430,4090,3770,3450,2910,2670,2660
Iran (Islamic Republic of), 15 600,16530,,,13180,13260,13730,12480,11540,10820,10120,9400,8890,8490,8010,7910,7730,7450,6940,6640,6620,6760,6430,5620
Iraq, 15 220,14810,13620,12650,12190,12020,10930,10720,9690,,,,,,,,,,,,,,,
Ireland,,35090,34850,34570,33560,36570,38950,37030,33420,31390,29700,27500,25920,24930,22360,21300,19390,17790,16330,14920,13800,13140,12670,12050
Israel, 32 140,30510,29650,27960,26530,26550,26870,24790,23050,23000,21350,22580,22280,21480,19320,19160,18820,18340,17090,15910,14920,14350,13590,13100
Italy, 34 100,34070,34420,33400,32970,33570,32510,30940,28600,27650,27240,26800,27130,25590,24220,23660,22520,21610,20850,19780,18990,18680,18160,17360
Jamaica, 8 480,8420,8170,7900,7810,8250,8100,9160,,,,,6320,6210,6060,5970,6210,6220,6050,5800,5700,4880,4630,4330
Japan, 37 630,36440,35380,34830,32880,34710,34500,32730,31150,29930,28410,27680,27000,26260,24910,24680,24980,24180,23130,22310,21750,21250,20620,19370
Jordan, 11 660,11390,11190,10950,11130,10810,10190,9290,8500,7770,7060,6780,6530,6180,5760,5600,5480,5290,5260,4970,4790,4630,3940,4340
Kazakhstan, 20 570,18860,17710,16710,15990,15460,15230,13900,12570,11580,10470,9530,8460,7170,6610,6410,6350,6070,5860,6160,6820,,,
Kenya, 2 250,2180,2110,2030,1950,1940,1920,1800,1690,1570,1490,1460,1470,1420,1420,1410,1380,1370,1310,1250,1210,1240,1260,1250
Kiribati, 2 780,2660,2390,2390,2430,2570,2480,2350,2420,2390,2290,2330,2510,2320,2060,2220,1910,1530,1660,1580,1490,1480,1450,1600
Kuwait,,,88170,86560,91900,102020,106670,103600,96720,88870,79780,69980,72590,75580,73500,81660,80750,77150,76240,,,,,
Kyrgyzstan, 3 070,2860,2670,2560,2640,2590,2420,2180,2040,1980,1850,1700,1690,1550,1450,1420,1410,1300,1210,1280,1580,1840,2110,2250
Lao People's Democratic Republic, 4 570,4170,3840,3580,3450,3190,3000,2710,2550,2300,2100,2010,1890,1770,1710,1580,1540,1480,1390,1310,1220,1150,1100,1050
Latvia, 22 970,21350,20120,18010,18200,18520,17080,14960,13140,11700,10760,10020,9020,8050,7340,6990,6490,5810,5410,5270,4970,5000,7090,7810
Lebanon, 17 390,17080,16360,15740,14820,13820,12750,11280,10830,10250,8360,9600,9990,9970,9790,9800,9530,9740,9330,8680,8050,7640,7620,6110
Lesotho, 3 320,2990,2570,2610,2510,2460,2330,2260,2210,2240,2230,2130,2090,1710,1650,1600,1640,1580,1500,1510,1450,1470,1440,1410
Liberia,790,730,670,580,540,460,410,340,310,250,260,420,320,360,230,240,190,,,,,,,
Libya,,,,,28110,28010,27640,25520,23170,20730,20220,17650,,,,,,,,,,,,
Lithuania, 24 500,23110,21680,19450,18480,19980,18350,16430,14440,12830,11850,10520,9450,8480,7830,7830,7170,6600,6190,5840,6300,7310,9050,9300
Luxembourg,,59750,61140,58100,52190,66660,67920,59750,58650,56700,47060,47700,47930,46800,44090,39790,39310,37450,36020,34210,33950,32880,32160,28820
Madagascar, 1 350,1340,1340,1350,1370,1470,1380,1290,1230,1170,1120,1030,1200,1130,1100,1060,1030,1000,980,970,990,980,950,1040
Malawi,750,730,730,710,680,640,600,550,540,520,490,470,470,490,480,480,470,460,420,350,400,350,380,340
Malaysia, 22 460,21430,20560,19340,18340,18620,17900,16570,15270,14200,13160,12280,11620,11440,10640,10290,11270,10670,9770,8930,8210,7440,6880,6300
Maldives, 9 890,9310,9310,8950,8500,8750,7770,7990,6600,6890,6040,5290,4990,,,,,,,,,,,
Mali, 1 540,1550,1590,1560,1490,1490,1420,1370,1270,1200,1180,1070,1050,990,960,910,870,830,810,770,780,790,730,710
