incidence_tb,incidence_tb_HIV,incidence_tb_100000,incidence_tb_HIV_100000
61 000 ,21 000 ,367 ,129 
720 ,84 ,139 ,16 
710 ,66 ,138 ,13 
720 ,60 ,143 ,12 
720 ,86 ,144 ,17 
720 ,96 ,145 ,19 
720 ,94 ,147 ,19 
720 ,89 ,148 ,18 
720 ,79 ,149 ,16 
720 ,66 ,151 ,14 
730 ,50 ,152 ,10 
730 ,34 ,153 ,7.2 
720 ,35 ,155 ,7.5 
720 ,36 ,156 ,7.7 
720 ,36 ,157 ,7.9 
710 ,36 ,159 ,8 
700 ,35 ,160 ,8 
59 000 ,1 400 ,380 ,9.2 
60 000 ,1 800 ,390 ,11 
60 000 ,2 200 ,400 ,15 
61 000 ,2 700 ,411 ,18 
62 000 ,3 100 ,423 ,22 
63 000 ,4 000 ,436 ,28 
64 000 ,4 700 ,450 ,33 
65 000 ,8 900 ,465 ,64 
66 000 ,5 400 ,480 ,39 
67 000 ,5 600 ,496 ,42 
68 000 ,6 000 ,511 ,45 
69 000 ,6 400 ,527 ,49 
70 000 ,6 900 ,542 ,53 
70 000 ,7 400 ,556 ,58 
71 000 ,7 700 ,567 ,62 
70 000 ,8 000 ,575 ,65 
49 000 ,18 000 ,212 ,76 
50 000 ,19 000 ,220 ,82 
52 000 ,20 000 ,235 ,89 
52 000 ,20 000 ,242 ,92 
53 000 ,20 000 ,251 ,96 
54 000 ,19 000 ,260 ,94 
54 000 ,20 000 ,271 ,97 
55 000 ,22 000 ,282 ,112 
56 000 ,22 000 ,292 ,117 
56 000 ,23 000 ,303 ,122 
56 000 ,23 000 ,311 ,126 
56 000 ,23 000 ,318 ,129 
55 000 ,23 000 ,321 ,131 
54 000 ,22 000 ,321 ,131 
52 000 ,21 000 ,317 ,130 
49 000 ,20 000 ,309 ,125 
1 800 ,150 ,5.1 ,0.4 
1 800 ,140 ,5.1 ,0.4 
1 900 ,130 ,5.3 ,0.36 
1 900 ,96 ,5.5 ,0.27 
1 600 ,66 ,4.8 ,0.19 
1 600 ,61 ,4.6 ,0.18 
1 800 ,90 ,5.3 ,0.27 
1 800 ,230 ,5.4 ,0.68 
1 700 ,220 ,5.3 ,0.66 
